inconsciente	a 1.0 7.375
ensartado	a 0.0 0.0
occipital	a 0.0 0.0
atrial	a 0.0 0.0
ahuecado	a 0.0 0.0
felino	a 0.0 0.0
salvia	a 0.0 0.0
silbante	a 0.0 0.0
plumbeo	a 0.0 0.0
distribucional	a 0.0 0.0
manchu	a 0.0 0.0
sacrificado	a 0.0 0.0
protozoologico	a 0.0 0.0
genotipico	a 0.0 0.0
anaplastico	a 0.0 0.0
deictico	a 0.0 0.0
posteriori	a 0.0 0.0
canadiense	a 0.0 0.0
iraqui	a 0.0 0.0
genital	a 0.0 0.0
andorrano	a 0.0 0.0
cafeinico	a 0.0 0.0
fisioterapeutico	a 0.0 0.0
desprovisto	a 0.0 0.0
bahame�o	a 0.0 0.0
autotipico	a 0.0 0.0
nihilista	a 0.0 0.0
trasatlantico	a 0.0 0.0
entomologico	a 0.0 0.0
reprendido	a 0.0 0.0
daltonico	a 0.0 0.0
libidinal	a 0.0 0.0
clorofilo	a 0.0 0.0
yibutiense	a 0.0 0.0
operacionalista	a 0.0 0.0
anglojudio	a 0.0 0.0
beethoveniano	a 0.0 0.0
cantonal	a 0.0 0.0
terno	a 0.0 0.0
tejano	a 0.0 0.0
testicular	a 0.0 0.0
estereoscopica	a 0.0 0.0
encargado	a 0.0 0.0
pavloviano	a 0.0 0.0
virologico	a 0.0 0.0
micrometeoritico	a 0.0 0.0
handeliano	a 0.0 0.0
calcifugo	a 0.0 0.0
neumatico	a 0.0 0.0
antitipico	a 0.0 0.0
interoracional	a 0.0 0.0
orbitario	a 0.0 0.0
jade	a 0.0 0.0
ascocarpo	a 0.0 0.0
augitico	a 0.0 0.0
robado	a 0.0 0.0
espondaico	a 0.0 0.0
benedictino	a 0.0 0.0
shaviano	a 0.0 0.0
facto	a 0.0 0.0
mensal	a 0.0 0.0
belemnitico	a 0.0 0.0
catalan	a 0.0 0.0
calcico	a 0.0 0.0
gestacional	a 0.0 0.0
orquestal	a 0.0 0.0
anodico	a 0.0 0.0
aortico	a 0.0 0.0
ara�ado	a 0.0 0.0
anunciador	a 0.0 0.0
cardiorespiratorio	a 0.0 0.0
jamaiquino	a 0.0 0.0
lusitano	a 0.0 0.0
nitrico	a 0.0 0.0
diocesano	a 0.0 0.0
lexico	a 0.0 0.0
ciclotimico	a 0.0 0.0
aullante	a 0.0 0.0
cale	a 0.0 0.0
atlantico	a 0.0 0.0
deformacional	a 0.0 0.0
ministerial	a 0.0 0.0
alquimistico	a 0.0 0.0
madagascare�o	a 0.0 0.0
neuropsiquiatrico	a 0.0 0.0
borico	a 0.0 0.0
olfatorio	a 0.0 0.0
salival	a 0.0 0.0
computerizado	a 0.0 0.0
vietnamita	a 0.0 0.0
instruccional	a 0.0 0.0
cerioso	a 0.0 0.0
nepales	a 0.0 0.0
hindu	a 0.0 0.0
pubico	a 0.0 0.0
escolastico	a 0.0 0.0
sirio	a 0.0 0.0
astrocitico	a 0.0 0.0
intertribal	a 0.0 0.0
bangladesi	a 0.0 0.0
diafiseo	a 0.0 0.0
angloparlante	a 0.0 0.0
troyano	a 0.0 0.0
paradigmatico	a 0.0 0.0
sicoanalitico	a 0.0 0.0
alejandrino	a 0.0 0.0
aire-aire	a 0.0 0.0
metacarpial	a 0.0 0.0
antigenico	a 0.0 0.0
quimioreceptivo	a 0.0 0.0
montano	a 0.0 0.0
antisemitico	a 0.0 0.0
tribal	a 0.0 0.0
ortotropo	a 0.0 0.0
mucoideo	a 0.0 0.0
yibutiano	a 0.0 0.0
computacional	a 0.0 0.0
cerido	a 0.0 0.0
miocardiaco	a 0.0 0.0
calumniado	a 0.0 0.0
llamado	a 0.0 0.0
catamenial	a 0.0 0.0
alsaciano	a 0.0 0.0
totemico	a 0.0 0.0
multicultural	a 0.0 0.0
paleoantropologico	a 0.0 0.0
troceado	a 0.0 0.0
extracelular	a 0.0 0.0
canicular	a 0.0 0.0
curricular	a 0.0 0.0
urico	a 0.0 0.0
braquial	a 0.0 0.0
conservante	a 0.0 0.0
agrobiologico	a 0.0 0.0
silogistico	a 0.0 0.0
tipografico	a 0.0 0.0
trinitario	a 0.0 0.0
ghanes	a 0.0 0.0
epiciclico	a 0.0 0.0
flamenco	a 0.0 0.0
archivistico	a 0.0 0.0
italiano	a 0.0 0.0
cordal	a 0.0 0.0
zigotico	a 0.0 0.0
interfacial	a 0.0 0.0
gimnosofico	a 0.0 0.0
anglicano	a 0.0 0.0
tirotoxico	a 0.0 0.0
quiasmico	a 0.0 0.0
epidermico	a 0.0 0.0
bizonal	a 0.0 0.0
sovietico	a 0.0 0.0
sistematizado	a 0.0 0.0
monista	a 0.0 0.0
parasimpatico	a 0.0 0.0
irlandes	a 0.0 0.0
montserratina	a 0.0 0.0
quilifero	a 0.0 0.0
cuarenton	a 0.0 0.0
estacional	a 0.0 0.0
ursino	a 0.0 0.0
biogeografico	a 0.0 0.0
nidicola	a 0.0 0.0
paname�o	a 0.0 0.0
coital	a 0.0 0.0
transcultural	a 0.0 0.0
metilado	a 0.0 0.0
bimilenario	a 0.0 0.0
cacodilico	a 0.0 0.0
solicitado	a 0.0 0.0
preguerra	a 0.0 0.0
embarrado	a 0.0 0.0
albitico	a 0.0 0.0
deducido	a 0.0 0.0
oncologico	a 0.0 0.0
prusiano	a 0.0 0.0
acetico	a 0.0 0.0
copto	a 0.0 0.0
funerario	a 0.0 0.0
iberico	a 0.0 0.0
gales	a 0.0 0.0
frostiano	a 0.0 0.0
situ	a 0.0 0.0
bibliopolico	a 0.0 0.0
cortical	a 0.0 0.0
aciculado	a 0.0 0.0
inhalado	a 0.0 0.0
pleural	a 0.0 0.0
triclinico	a 0.0 0.0
magullado	a 0.0 0.0
monta�es	a 0.0 0.0
tailandes	a 0.0 0.0
sartorio	a 0.0 0.0
umbilical	a 0.0 0.0
ruandes	a 0.0 0.0
binuclear	a 0.0 0.0
glandular	a 0.0 0.0
antropogenetico	a 0.0 0.0
invadido	a 0.0 0.0
toxicologico	a 0.0 0.0
malhablado	a 0.0 0.0
germano	a 0.0 0.0
quimioterapeutico	a 0.0 0.0
calculoso	a 0.0 0.0
ferrico	a 0.0 0.0
lituano	a 0.0 0.0
botella	a 0.0 0.0
estadounidense	a 0.0 0.0
miras	a 0.0 0.0
malayo	a 0.0 0.0
doctoral	a 0.0 0.0
cereal	a 0.0 0.0
lunar	a 0.0 0.0
clerical	a 0.0 0.0
zoologico	a 0.0 0.0
beato	a 0.0 0.0
leibniziano	a 0.0 0.0
cerval	a 0.0 0.0
intrapulmonar	a 0.0 0.0
mineralizado	a 0.0 0.0
otico	a 0.0 0.0
haitiano	a 0.0 0.0
recordado	a 0.0 0.0
actinometrico	a 0.0 0.0
alfanumerico	a 0.0 0.0
metastatico	a 0.0 0.0
adrenocortical	a 0.0 0.0
apositivo	a 0.0 0.0
geopolitico	a 0.0 0.0
brasile�o	a 0.0 0.0
tibetano	a 0.0 0.0
autosuficiente	a 0.0 0.0
arabigo	a 0.0 0.0
hidropatico	a 0.0 0.0
copulatorio	a 0.0 0.0
acariciador	a 0.0 0.0
acrocentrico	a 0.0 0.0
anestesiado	a 0.0 0.0
atmosferico	a 0.0 0.0
insultado	a 0.0 0.0
electromagnetico	a 0.0 0.0
mediterraneo	a 0.0 0.0
serologico	a 0.0 0.0
ortografico	a 0.0 0.0
subjuntivo	a 0.0 0.0
avellano	a 0.0 0.0
apopletico	a 0.0 0.0
mutacional	a 0.0 0.0
hipotalamico	a 0.0 0.0
adjudicatorio	a 0.0 0.0
latiente	a 0.0 0.0
post-meridiem	a 0.0 0.0
auroral	a 0.0 0.0
modoso	a 0.0 0.0
barrigon	a 0.0 0.0
ascomicetoso	a 0.0 0.0
cardiologico	a 0.0 0.0
anexional	a 0.0 0.0
estereoscopico	a 0.0 0.0
epistemologico	a 0.0 0.0
lobular	a 0.0 0.0
antimonico	a 0.0 0.0
avionico	a 0.0 0.0
washingtoniano	a 0.0 0.0
plagado	a 0.0 0.0
dental	a 0.0 0.0
infestado	a 0.0 0.0
biocatalitico	a 0.0 0.0
guatemalteco	a 0.0 0.0
mecanografiado	a 0.0 0.0
obrero	a 0.0 0.0
calcaneal	a 0.0 0.0
pecuniario	a 0.0 0.0
coranico	a 0.0 0.0
priori	a 0.0 0.0
epifiseo	a 0.0 0.0
ovarico	a 0.0 0.0
aponeurotico	a 0.0 0.0
finlandes	a 0.0 0.0
difamado	a 0.0 0.0
demagogico	a 0.0 0.0
embolico	a 0.0 0.0
vehicular	a 0.0 0.0
anabatico	a 0.0 0.0
paraguayo	a 0.0 0.0
centralista	a 0.0 0.0
monocotiledoneo	a 0.0 0.0
cuadratico	a 0.0 0.0
melenudo	a 0.0 0.0
endotelial	a 0.0 0.0
ectodermico	a 0.0 0.0
bentonitico	a 0.0 0.0
dialectal	a 0.0 0.0
carbon	a 0.0 0.0
angloindio	a 0.0 0.0
ingles	a 0.0 0.0
verde-amarillo	a 0.0 0.0
cementoso	a 0.0 0.0
respiratorio	a 0.0 0.0
cognitivo	a 0.0 0.0
coronario	a 0.0 0.0
junguiano	a 0.0 0.0
ergotropico	a 0.0 0.0
mielinico	a 0.0 0.0
sajon	a 0.0 0.0
anglocatolico	a 0.0 0.0
anortico	a 0.0 0.0
country	a 0.0 0.0
siberiano	a 0.0 0.0
azimutal	a 0.0 0.0
carpelar	a 0.0 0.0
tubal	a 0.0 0.0
thoreauviano	a 0.0 0.0
comunicado	a 0.0 0.0
periodistico	a 0.0 0.0
malasio	a 0.0 0.0
escorbutico	a 0.0 0.0
uterino	a 0.0 0.0
lexicografico	a 0.0 0.0
hipocratico	a 0.0 0.0
cardiografico	a 0.0 0.0
butani	a 0.0 0.0
caquetico	a 0.0 0.0
etnocentrico	a 0.0 0.0
calificativo	a 0.0 0.0
restado	a 0.0 0.0
andino	a 0.0 0.0
ante-meridiam	a 0.0 0.0
audiometrico	a 0.0 0.0
aneurismatico	a 0.0 0.0
burocratico	a 0.0 0.0
subtropical	a 0.0 0.0
verde-amarillento	a 0.0 0.0
blastogenetico	a 0.0 0.0
habituado	a 0.0 0.0
semita	a 0.0 0.0
tunecino	a 0.0 0.0
arsenico	a 0.0 0.0
rival	a 0.0 0.0
poligamo	a 0.0 0.0
quimioluminiscente	a 0.0 0.0
apsidal	a 0.0 0.0
verdemar	a 0.0 0.0
mariano	a 0.0 0.0
napoleonico	a 0.0 0.0
baltico	a 0.0 0.0
ante-meridiem	a 0.0 0.0
simpatrico	a 0.0 0.0
alcaloidal	a 0.0 0.0
hormonal	a 0.0 0.0
amitotico	a 0.0 0.0
estadistico	a 0.0 0.0
africano	a 0.0 0.0
volumetrico	a 0.0 0.0
mural	a 0.0 0.0
periodontal	a 0.0 0.0
filogenetico	a 0.0 0.0
baritico	a 0.0 0.0
dominico	a 0.0 0.0
alogamo	a 0.0 0.0
gnomico	a 0.0 0.0
acechante	a 0.0 0.0
granadino	a 0.0 0.0
jesuita	a 0.0 0.0
jamaicano	a 0.0 0.0
apropiativo	a 0.0 0.0
sicosexual	a 0.0 0.0
dactilico	a 0.0 0.0
avestico	a 0.0 0.0
nepali	a 0.0 0.0
contractual	a 0.0 0.0
islandes-hablante	a 0.0 0.0
noruego	a 0.0 0.0
biotitico	a 0.0 0.0
admitido	a 0.0 0.0
archidiocesano	a 0.0 0.0
consular	a 0.0 0.0
expropiado	a 0.0 0.0
chancroidal	a 0.0 0.0
monoclinico	a 0.0 0.0
intergalactico	a 0.0 0.0
acimutal	a 0.0 0.0
malawiano	a 0.0 0.0
latinoamericano	a 0.0 0.0
amonio	a 0.0 0.0
nacionalsocialista	a 0.0 0.0
quelifero	a 0.0 0.0
anastomotico	a 0.0 0.0
azimo	a 0.0 0.0
anglosajon	a 0.0 0.0
blastular	a 0.0 0.0
goethiano	a 0.0 0.0
avitaminotico	a 0.0 0.0
ciclonico	a 0.0 0.0
monogamo	a 0.0 0.0
agrologico	a 0.0 0.0
extraterrestre	a 0.0 0.0
autogenetico	a 0.0 0.0
trigonometrico	a 0.0 0.0
irani	a 0.0 0.0
palestino	a 0.0 0.0
prematrimonial	a 0.0 0.0
eolico	a 0.0 0.0
azabache	a 0.0 0.0
cuticular	a 0.0 0.0
sifilitico	a 0.0 0.0
iridico	a 0.0 0.0
catadromo	a 0.0 0.0
bolografico	a 0.0 0.0
fertilizado	a 0.0 0.0
algeriano	a 0.0 0.0
vesicular	a 0.0 0.0
encabalgado	a 0.0 0.0
anemografico	a 0.0 0.0
teuton	a 0.0 0.0
fotoquimico	a 0.0 0.0
comportamental	a 0.0 0.0
homerico	a 0.0 0.0
antropometrico	a 0.0 0.0
hexagonal	a 0.0 0.0
jure	a 0.0 0.0
atencional	a 0.0 0.0
eolio	a 0.0 0.0
indexico	a 0.0 0.0
neolitico	a 0.0 0.0
concavoconvexo	a 0.0 0.0
egipciaco	a 0.0 0.0
liechtensteiniense	a 0.0 0.0
exegetico	a 0.0 0.0
cromatografico	a 0.0 0.0
pronominal	a 0.0 0.0
apiario	a 0.0 0.0
insurrecional	a 0.0 0.0
dorico	a 0.0 0.0
argentoso	a 0.0 0.0
anafasico	a 0.0 0.0
mononuclear	a 0.0 0.0
elepe	a 0.0 0.0
monozigotico	a 0.0 0.0
escolar	a 0.0 0.0
islandes	a 0.0 0.0
germanico	a 0.0 0.0
aptitudinal	a 0.0 0.0
centromerico	a 0.0 0.0
nigeriano	a 0.0 0.0
guyanes	a 0.0 0.0
autoimpuesto	a 0.0 0.0
dicotiledoneo	a 0.0 0.0
arsenioso	a 0.0 0.0
boronico	a 0.0 0.0
latino	a 0.0 0.0
teologico	a 0.0 0.0
existencialista	a 0.0 0.0
fungico	a 0.0 0.0
guineano	a 0.0 0.0
cachemir	a 0.0 0.0
intrauterino	a 0.0 0.0
avalado	a 0.0 0.0
metatarsiano	a 0.0 0.0
egipciano	a 0.0 0.0
ecuatoriano	a 0.0 0.0
algonquino	a 0.0 0.0
yugoslavo	a 0.0 0.0
portugues	a 0.0 0.0
samoano	a 0.0 0.0
corvino	a 0.0 0.0
canario	a 0.0 0.0
calvinista	a 0.0 0.0
hondure�o	a 0.0 0.0
carotida	a 0.0 0.0
pelagico	a 0.0 0.0
presupuestario	a 0.0 0.0
oficinista	a 0.0 0.0
biaxial	a 0.0 0.0
criollo	a 0.0 0.0
basilar	a 0.0 0.0
indostanico	a 0.0 0.0
calicular	a 0.0 0.0
piezoelectrico	a 0.0 0.0
venezolano	a 0.0 0.0
articulatorio	a 0.0 0.0
acropetalo	a 0.0 0.0
papu	a 0.0 0.0
ginecologico	a 0.0 0.0
tricentenario	a 0.0 0.0
autobiografico	a 0.0 0.0
saudi	a 0.0 0.0
ateniense	a 0.0 0.0
anticiclonico	a 0.0 0.0
intentable	a 0.0 0.0
vacuolado	a 0.0 0.0
autolitico	a 0.0 0.0
cinematico	a 0.0 0.0
corso	a 0.0 0.0
autografico	a 0.0 0.0
cincuenton	a 0.0 0.0
franciscano	a 0.0 0.0
bronquiolar	a 0.0 0.0
etiope	a 0.0 0.0
endosado	a 0.0 0.0
valvular	a 0.0 0.0
axonal	a 0.0 0.0
bacteriofagico	a 0.0 0.0
contusionado	a 0.0 0.0
homotermo	a 0.0 0.0
naufrago	a 0.0 0.0
albuminoso	a 0.0 0.0
prenupcial	a 0.0 0.0
amenorreico	a 0.0 0.0
racionalista	a 0.0 0.0
acuchillado	a 0.0 0.0
cervino	a 0.0 0.0
hidrodinamico	a 0.0 0.0
areolar	a 0.0 0.0
puerperal	a 0.0 0.0
comido	a 0.0 0.0
jesuitico	a 0.0 0.0
termodinamico	a 0.0 0.0
serbio	a 0.0 0.0
sinaptico	a 0.0 0.0
aspectual	a 0.0 0.0
nicarag�e�o	a 0.0 0.0
parisino	a 0.0 0.0
extensisimo	a 0.0 0.0
abacial	a 0.0 0.0
coclear	a 0.0 0.0
acetilenico	a 0.0 0.0
prenominal	a 0.0 0.0
paschal	a 0.0 0.0
garantizado	a 0.0 0.0
quiromantico	a 0.0 0.0
cenogenetico	a 0.0 0.0
psicosexual	a 0.0 0.0
veneciano	a 0.0 0.0
argentico	a 0.0 0.0
cromosomico	a 0.0 0.0
viral	a 0.0 0.0
autoradiografico	a 0.0 0.0
unitariano	a 0.0 0.0
sordomudo	a 0.0 0.0
semitico	a 0.0 0.0
eponimo	a 0.0 0.0
amarico	a 0.0 0.0
australiano	a 0.0 0.0
moro	a 0.0 0.0
remodelado	a 0.0 0.0
bizco	a 0.0 0.0
apocinaceo	a 0.0 0.0
nicarag�ense	a 0.0 0.0
alomorfico	a 0.0 0.0
evacuado	a 0.0 0.0
anaglifico	a 0.0 0.0
pancreatico	a 0.0 0.0
asintotico	a 0.0 0.0
terrorista	a 0.0 0.0
paleocortical	a 0.0 0.0
cervical	a 0.0 0.0
grapado	a 0.0 0.0
mozambicano	a 0.0 0.0
coleridgeano	a 0.0 0.0
darwiniano	a 0.0 0.0
desplegado	a 0.0 0.0
alelico	a 0.0 0.0
chadiano	a 0.0 0.0
vienes	a 0.0 0.0
amurallado	a 0.0 0.0
celtico	a 0.0 0.0
paniculado	a 0.0 0.0
quiloso	a 0.0 0.0
rectal	a 0.0 0.0
catastral	a 0.0 0.0
aventuristico	a 0.0 0.0
malgache	a 0.0 0.0
musgo	a 0.0 0.0
ribere�o	a 0.0 0.0
gambiano	a 0.0 0.0
ontogenetico	a 0.0 0.0
organizado	a 0.0 0.0
quelicerado	a 0.0 0.0
logistico	a 0.0 0.0
auscultatorio	a 0.0 0.0
turco	a 0.0 0.0
basilical	a 0.0 0.0
antinomiano	a 0.0 0.0
cronologico	a 0.0 0.0
francofono	a 0.0 0.0
anisogamo	a 0.0 0.0
predicativo	a 0.0 0.0
manco	a 0.0 0.0
piratico	a 0.0 0.0
autopropulsado	a 0.0 0.0
anemofilo	a 0.0 0.0
bantu	a 0.0 0.0
aparcado	a 0.0 0.0
aleman	a 0.0 0.0
enzimatico	a 0.0 0.0
paleolitico	a 0.0 0.0
etimologico	a 0.0 0.0
jordano	a 0.0 0.0
platino	a 0.0 0.0
matutino	a 0.0 0.0
aurico	a 0.0 0.0
estenografico	a 0.0 0.0
apocarpico	a 0.0 0.0
exocentrico	a 0.0 0.0
arquesporial	a 0.0 0.0
sismologico	a 0.0 0.0
impreso	a 0.0 0.0
armilar	a 0.0 0.0
fungoso	a 0.0 0.0
angiomatoso	a 0.0 0.0
parametrico	a 0.0 0.0
particularista	a 0.0 0.0
latitudinal	a 0.0 0.0
bibliofilico	a 0.0 0.0
fosforico	a 0.0 0.0
alegable	a 0.0 0.0
megalitico	a 0.0 0.0
feminista	a 0.0 0.0
asociacional	a 0.0 0.0
obstetrico	a 0.0 0.0
solar	a 0.0 0.0
sub	a 0.0 0.0
judice	a 0.0 0.0
ferroso	a 0.0 0.0
mauriciano	a 0.0 0.0
hidratado	a 0.0 0.0
propioceptivo	a 0.0 0.0
vocativo	a 0.0 0.0
hebreo	a 0.0 0.0
polifacetico	a 0.0 0.0
espectrometrico	a 0.0 0.0
aeromecanico	a 0.0 0.0
frenico	a 0.0 0.0
off-line	a 0.0 0.0
biologista	a 0.0 0.0
cirilico	a 0.0 0.0
islamico	a 0.0 0.0
monetario	a 0.0 0.0
gitano	a 0.0 0.0
alcanforico	a 0.0 0.0
mielico	a 0.0 0.0
femoral	a 0.0 0.0
fonemico	a 0.0 0.0
vitro	a 0.0 0.0
cuprico	a 0.0 0.0
presurizado	a 0.0 0.0
hipertermico	a 0.0 0.0
euclidiano	a 0.0 0.0
artralgico	a 0.0 0.0
proconsular	a 0.0 0.0
agronomico	a 0.0 0.0
cardiopulmonar	a 0.0 0.0
anisogametico	a 0.0 0.0
pitagorico	a 0.0 0.0
zimbabuo	a 0.0 0.0
rusoparlante	a 0.0 0.0
judio	a 0.0 0.0
skinneriano	a 0.0 0.0
caliculado	a 0.0 0.0
substraido	a 0.0 0.0
rotacional	a 0.0 0.0
tongano	a 0.0 0.0
botulinal	a 0.0 0.0
avifaunico	a 0.0 0.0
trofotropico	a 0.0 0.0
sudanes	a 0.0 0.0
antracitico	a 0.0 0.0
espaldudo	a 0.0 0.0
laosiano	a 0.0 0.0
restaurado	a 0.0 0.0
ceruminoso	a 0.0 0.0
sarcolemal	a 0.0 0.0
latinado	a 0.0 0.0
testaceo	a 0.0 0.0
germanoparlante	a 0.0 0.0
falconino	a 0.0 0.0
bubalino	a 0.0 0.0
plumbico	a 0.0 0.0
costarrique�o	a 0.0 0.0
bicilindrico	a 0.0 0.0
morfofonemico	a 0.0 0.0
plosivo	a 0.0 0.0
congregacionista	a 0.0 0.0
postal	a 0.0 0.0
autodidacta	a 0.0 0.0
peptico	a 0.0 0.0
lincolniano	a 0.0 0.0
retiniano	a 0.0 0.0
ideografico	a 0.0 0.0
neerlandes	a 0.0 0.0
basaltico	a 0.0 0.0
ignifugo	a 0.0 0.0
parlante	a 0.0 0.0
embadurnado	a 0.0 0.0
amonitico	a 0.0 0.0
atrioventricular	a 0.0 0.0
cromwelliano	a 0.0 0.0
bengali	a 0.0 0.0
minoico	a 0.0 0.0
artromerico	a 0.0 0.0
megacariocitico	a 0.0 0.0
bordado	a 0.0 0.0
autotelico	a 0.0 0.0
suramericano	a 0.0 0.0
chapuza	a 0.0 0.0
lobar	a 0.0 0.0
aerifero	a 0.0 0.0
estevado	a 0.0 0.0
telefonico	a 0.0 0.0
maltusiano	a 0.0 0.0
senegales	a 0.0 0.0
endodontico	a 0.0 0.0
hipermetrope	a 0.0 0.0
apneico	a 0.0 0.0
marroqui	a 0.0 0.0
teutonico	a 0.0 0.0
nipon	a 0.0 0.0
cesural	a 0.0 0.0
ecuestre	a 0.0 0.0
secularizado	a 0.0 0.0
fetal	a 0.0 0.0
hidrometrico	a 0.0 0.0
celulosico	a 0.0 0.0
equinoccial	a 0.0 0.0
parisiense	a 0.0 0.0
cigotico	a 0.0 0.0
diamantino	a 0.0 0.0
peninsular	a 0.0 0.0
impregnado	a 0.0 0.0
taoista	a 0.0 0.0
barografico	a 0.0 0.0
camboyano	a 0.0 0.0
gravimetrico	a 0.0 0.0
costarricense	a 0.0 0.0
abdominal	a 0.0 0.0
analistico	a 0.0 0.0
indoeuropeo	a 0.0 0.0
australopitecino	a 0.0 0.0
bavaro	a 0.0 0.0
gerontologico	a 0.0 0.0
auricular	a 0.0 0.0
omanita	a 0.0 0.0
glomerular	a 0.0 0.0
paramilitar	a 0.0 0.0
anhelado	a 0.0 0.0
dipolar	a 0.0 0.0
cuatrimestral	a 0.0 0.0
inspiratorio	a 0.0 0.0
intravenoso	a 0.0 0.0
polipetalo	a 0.0 0.0
intradermal	a 0.0 0.0
ateromatoso	a 0.0 0.0
macrocosmico	a 0.0 0.0
pasteuriano	a 0.0 0.0
georgiano	a 0.0 0.0
naval	a 0.0 0.0
piscatorio	a 0.0 0.0
climatizado	a 0.0 0.0
balbuceante	a 0.0 0.0
etnologico	a 0.0 0.0
laringeo	a 0.0 0.0
am	a 0.0 0.0
shakesperiano	a 0.0 0.0
zambiano	a 0.0 0.0
centroamericano	a 0.0 0.0
zaire�o	a 0.0 0.0
sensorineural	a 0.0 0.0
cerebrovascular	a 0.0 0.0
fulgente	a 0.0 0.0
plegado	a 0.0 0.0
tartamudo	a 0.0 0.0
inseminado	a 0.0 0.0
batolitico	a 0.0 0.0
participial	a 0.0 0.0
cutaneo	a 0.0 0.0
barico	a 0.0 0.0
maquillado	a 0.0 0.0
ferromagnetico	a 0.0 0.0
marmoreo	a 0.0 0.0
deslenguado	a 0.0 0.0
mamario	a 0.0 0.0
fidjiano	a 0.0 0.0
hidraulico	a 0.0 0.0
maniacodepresivo	a 0.0 0.0
bacteriologico	a 0.0 0.0
donado	a 0.0 0.0
litoral	a 0.0 0.0
danes	a 0.0 0.0
nilotico	a 0.0 0.0
espa�ol	a 0.0 0.0
socratico	a 0.0 0.0
alexico	a 0.0 0.0
ceilanes	a 0.0 0.0
autofecundado	a 0.0 0.0
neurosiquiatrico	a 0.0 0.0
oeste	a 0.0 0.0
suburbano	a 0.0 0.0
toscano	a 0.0 0.0
penalizado	a 0.0 0.0
iliaco	a 0.0 0.0
dinastico	a 0.0 0.0
clasificatorio	a 0.0 0.0
ortopedico	a 0.0 0.0
ad	a 0.0 0.0
hoc	a 0.0 0.0
ansiado	a 0.0 0.0
afroamericano	a 0.0 0.0
fruticoso	a 0.0 0.0
exodontico	a 0.0 0.0
duodenal	a 0.0 0.0
herciano	a 0.0 0.0
petrolifero	a 0.0 0.0
pediatrico	a 0.0 0.0
auriculoventricular	a 0.0 0.0
dualista	a 0.0 0.0
nutricional	a 0.0 0.0
venereo	a 0.0 0.0
muhammadiano	a 0.0 0.0
austriaco	a 0.0 0.0
antistrofico	a 0.0 0.0
jainista	a 0.0 0.0
anticlinal	a 0.0 0.0
gamopetalo	a 0.0 0.0
guisante	a 0.0 0.0
audiovisual	a 0.0 0.0
hispanico	a 0.0 0.0
ferruginoso	a 0.0 0.0
peruano	a 0.0 0.0
sincarpico	a 0.0 0.0
anamnestico	a 0.0 0.0
italohablante	a 0.0 0.0
oftalmico	a 0.0 0.0
dizigotico	a 0.0 0.0
compensador	a 0.0 0.0
poligonal	a 0.0 0.0
catoptrico	a 0.0 0.0
dramaturgico	a 0.0 0.0
estaquillado	a 0.0 0.0
cingaro	a 0.0 0.0
fonologico	a 0.0 0.0
hemofilico	a 0.0 0.0
afgano	a 0.0 0.0
budista	a 0.0 0.0
amonestado	a 0.0 0.0
semiprocesado	a 0.0 0.0
ario	a 0.0 0.0
artropodo	a 0.0 0.0
ocupacional	a 0.0 0.0
salvadore�o	a 0.0 0.0
carbonifero	a 0.0 0.0
antropologico	a 0.0 0.0
gibraltare�o	a 0.0 0.0
moscovita	a 0.0 0.0
arundineo	a 0.0 0.0
arremolinado	a 0.0 0.0
gaussiano	a 0.0 0.0
bahreini	a 0.0 0.0
alimentoso	a 0.0 0.0
geofisico	a 0.0 0.0
margoso	a 0.0 0.0
alografico	a 0.0 0.0
matinal	a 0.0 0.0
astragalar	a 0.0 0.0
alergenico	a 0.0 0.0
sociobiologico	a 0.0 0.0
neurobiologico	a 0.0 0.0
monegasco	a 0.0 0.0
cataforetico	a 0.0 0.0
regimental	a 0.0 0.0
autocatalitico	a 0.0 0.0
marciano	a 0.0 0.0
apendicular	a 0.0 0.0
tudor	a 0.0 0.0
jungiano	a 0.0 0.0
hidratante	a 0.0 0.0
costal	a 0.0 0.0
barberil	a 0.0 0.0
psicoling�istico	a 0.0 0.0
mejicano	a 0.0 0.0
oracional	a 0.0 0.0
transoceanico	a 0.0 0.0
freudiano	a 0.0 0.0
eritiroideo	a 0.0 0.0
acidimetrico	a 0.0 0.0
idiomatico	a 0.0 0.0
cerebelar	a 0.0 0.0
blastomicotico	a 0.0 0.0
asterismal	a 0.0 0.0
tartasico	a 0.0 0.0
indonesio	a 0.0 0.0
leido	a 0.0 0.0
blanco-lechoso	a 0.0 0.0
afanitico	a 0.0 0.0
epidemiologico	a 0.0 0.0
recomendado	a 0.0 0.0
ibseniano	a 0.0 0.0
humoral	a 0.0 0.0
adsorbido	a 0.0 0.0
mieloideo	a 0.0 0.0
dominicano	a 0.0 0.0
exponencial	a 0.0 0.0
devorado	a 0.0 0.0
compensatorio	a 0.0 0.0
sardo	a 0.0 0.0
navegante	a 0.0 0.0
israeli	a 0.0 0.0
rabinico	a 0.0 0.0
etnografico	a 0.0 0.0
antiamericano	a 0.0 0.0
geologico	a 0.0 0.0
hogare�o	a 0.0 0.0
yainista	a 0.0 0.0
balsamico	a 0.0 0.0
domiciliario	a 0.0 0.0
benines	a 0.0 0.0
simico	a 0.0 0.0
huxleyano	a 0.0 0.0
abatible	a 0.0 0.0
bracteolado	a 0.0 0.0
prefectoral	a 0.0 0.0
